,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
340,ARRIVALS,FI,2012.0,151.8
341,ARRIVALS,FI,2013.0,138.7
342,ARRIVALS,FI,2014.0,133.7
343,ARRIVALS,FI,2015.0,166.5
344,ARRIVALS,FI,2016.0,156.3
345,ARRIVALS,FI,2017.0,185.9
346,ARRIVALS,FI,2018.0,186.9
347,ARRIVALS,FI,2019.0,216.7
348,ARRIVALS,FI,2020.0,75.3
349,ARRIVALS,FI,2021.0,64.6
350,ARRIVALS,ES,2012.0,23.0
351,ARRIVALS,ES,2013.0,0.0
352,ARRIVALS,ES,2014.0,22.8
353,ARRIVALS,ES,2015.0,0.0
354,ARRIVALS,ES,2016.0,0.0
355,ARRIVALS,ES,2017.0,0.0
356,ARRIVALS,ES,2018.0,31.3
357,ARRIVALS,ES,2019.0,35.7
358,ARRIVALS,ES,2020.0,0.0
359,ARRIVALS,ES,2021.0,11.3
360,ARRIVALS,CH,2012.0,26.8
361,ARRIVALS,CH,2013.0,29.4
362,ARRIVALS,CH,2014.0,40.6
363,ARRIVALS,CH,2015.0,33.1
364,ARRIVALS,CH,2016.0,28.7
365,ARRIVALS,CH,2017.0,22.4
366,ARRIVALS,CH,2018.0,41.2
367,ARRIVALS,CH,2019.0,37.5
368,ARRIVALS,CH,2020.0,0.0
369,ARRIVALS,CH,2021.0,0.0
370,ARRIVALS,TR,2012.0,14.0
371,ARRIVALS,TR,2013.0,10.7
372,ARRIVALS,TR,2014.0,16.2
373,ARRIVALS,TR,2015.0,26.3
374,ARRIVALS,TR,2016.0,15.7
375,ARRIVALS,TR,2017.0,0.0
376,ARRIVALS,TR,2018.0,0.0
377,ARRIVALS,TR,2019.0,16.7
378,ARRIVALS,TR,2020.0,0.0
379,ARRIVALS,TR,2021.0,0.0
380,ARRIVALS,UA,2012.0,79.3
381,ARRIVALS,UA,2013.0,78.7
382,ARRIVALS,UA,2014.0,58.7
383,ARRIVALS,UA,2015.0,99.7
384,ARRIVALS,UA,2016.0,76.8
385,ARRIVALS,UA,2017.0,99.5
386,ARRIVALS,UA,2018.0,123.6
387,ARRIVALS,UA,2019.0,217.7
388,ARRIVALS,UA,2020.0,38.8
389,ARRIVALS,UA,2021.0,75.3
390,ARRIVALS,HU,2012.0,12.4
391,ARRIVALS,HU,2013.0,11.0
392,ARRIVALS,HU,2014.0,10.2
393,ARRIVALS,HU,2015.0,10.7
